name,price,rating,address,img-src
The Donatello,276,8.7,"501 Post Street, San Francisco Downtown, San Francisco (CA), United States, 94102",//pix8.agoda.net/hotelImages/5080814/0/cc54bb3ea3ebd414c7281bf1b51c92f8.jpg?ca=23&ce=0&s=1024x768
The Inn at Union Square,260,9.1,"440 Post Street, San Francisco Downtown, San Francisco (CA), United States, 94102",//pix8.agoda.net/hotelImages/5445557/0/5e111dcfe277b132dab737f3e2a222b1.jpg?ca=9&ce=1&s=1024x768
Omni San Francisco Hotel,203,9.2,"500 California Street, San Francisco Downtown, San Francisco (CA), United States, 94104",//pix8.agoda.net/hotelImages/5672323/0/18c48f4cc25225edd6a74fe614f03c76.jpg?ca=9&ce=1&s=1024x768
Hyatt Centric Fishermans Wharf,299,8.3,"555 North Point St, Fisherman's Wharf, San Francisco (CA), United States, 94133",//pix8.agoda.net/hotelImages/2159432/0/cf5f80d48935168e89c0767a69156664.jpg?ca=0&ce=1&s=1024x768
Hyatt Place Emeryville/San Francisco Bay Area,199,8.6,"5700 Bay Street, Oakland, San Francisco (CA), United States, 94608",//pix8.agoda.net/hotelImages/2465807/0/a4751e401d1fa5b952e2f8d5b243e95f.jpg?ca=7&ce=1&s=1024x768
Hotel Abri Union Square,191,8.3,"127 Ellis Street, San Francisco Downtown, San Francisco (CA), United States, 94102",//pix8.agoda.net/hotelImages/6798252/0/b5fb614767b7dae667dd1f8defef890a.jpg?ca=23&ce=0&s=1024x768
Extended Stay America Premier Suites - Oakland - Alameda,138,7.2,"1350 Marina Village Pkwy, Oakland, San Francisco (CA), United States, 94501",//pix8.agoda.net/hotelImages/2449744/0/6eda37806a139d4e17973ba40a392ea5.jpg?ca=7&ce=1&s=1024x768
Axiom Hotel San Francisco,239,8.3,"28 Cyril Magnin ST, San Francisco Downtown, San Francisco (CA), United States, 94109",//pix8.agoda.net/hotelImages/7543010/0/2ecfd46627f0252ef31b98ae9524d59a.jpg?ca=23&ce=0&s=1024x768
Courtyard San Francisco Union Square,219,7.8,"761 Post Street, San Francisco Downtown, San Francisco (CA), United States, 94109",//pix8.agoda.net/hotelImages/5073039/0/72f23f0a5a66c8279d207e9db1b2640d.jpg?ca=23&ce=0&s=1024x768
Chancellor Hotel on Union Square,182,9.3,"433 Powell Street, San Francisco Downtown, San Francisco (CA), United States, 94102",//pix8.agoda.net/hotelImages/933/93358/93358_1112221647005323060.jpg?ca=0&ce=1&s=1024x768
Holiday Inn San Francisco - Golden Gateway,206,8,"1500 Van Ness Avenue, San Francisco Downtown, San Francisco (CA), United States, 94109",//pix8.agoda.net/hotelImages/4866117/0/16d2103e901d1535643214e17b4262bd.jpg?ca=25&ce=0&s=1024x768
Executive Inn & Suites Oakland,161,8.6,"1755 Embarcadero, Oakland, San Francisco (CA), United States, 94606",//pix8.agoda.net/hotelImages/2461693/-1/e1bffb737e85a1511bcf092543b193fc.jpg?ca=7&ce=1&s=1024x768
Handlery Union Square Hotel,244,8.3,"351 Geary Street, San Francisco Downtown, San Francisco (CA), United States, 94102",//pix8.agoda.net/hotelImages/708/7089/7089_1112220534005299437.jpg?ca=0&ce=1&s=1024x768
